,Position,Track Name,Artist,Streams,URL
107,108,Play Date,Melanie Martinez,512403,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
105,106,Savage,Megan Thee Stallion,521296,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
144,145,Daisies,Katy Perry,417459,https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc
66,67,Sunday Best,Surfaces,665136,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
119,120,Dumpa (feat. M24 & Unknown T),iLL BLU,473953,https://open.spotify.com/track/0g73q6pMcCP6DEde6t0rnM
36,37,Adore You,Harry Styles,911403,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
102,103,Dancing In The Moonlight (feat. NEIMY),Jubël,525009,https://open.spotify.com/track/4Vs8RLrUdDXeaZbNeIOrtn
88,89,Riptide,Vance Joy,578817,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
171,172,Lights Up,Harry Styles,381572,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
86,87,Plastic Doll,Lady Gaga,592059,https://open.spotify.com/track/3CidPLqWXqgesJlwYVJZdy
