,Position,Track Name,Artist,Streams,URL
0,1,ROCKSTAR (feat. Roddy Ricch),DaBaby,3895916,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
1,2,Rain On Me (with Ariana Grande),Lady Gaga,3073999,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
2,3,Blinding Lights,The Weeknd,2587402,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,4,Toosie Slide,Drake,2347217,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
4,5,Roses - Imanbek Remix,SAINt JHN,2165427,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,6,Rover (feat. DTG),S1mba,2120778,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
6,7,Dinner Guest (feat. MoStack),AJ Tracey,1924099,https://open.spotify.com/track/5y0ekFHNfFbjKhZlguSzdf
7,8,I Dunno (feat. Dutchavelli & Stormzy),Tion Wayne,1921789,https://open.spotify.com/track/3B0WbRucJ6ZIla2G9IVt2E
8,9,death bed (coffee for your head) (feat. beabadoobee),Powfu,1753808,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
9,10,Breaking Me,Topic,1730798,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
